,CustomerID,Recency,Frequency,Monetary_Value,0
0,12346.0,1,1,77183.6,1
1,12347.0,162,7,3653.4500000000016,0
2,12348.0,27,4,1437.24,0
3,12349.0,68,1,1372.4199999999998,0
4,12350.0,13,1,258.0,0
5,12352.0,76,7,1373.24,0
6,12353.0,4,1,89.0,0
7,12354.0,57,1,1062.8,0
8,12355.0,9,1,363.09999999999997,0
9,12356.0,55,3,2406.630000000001,0
10,12357.0,116,1,5301.9699999999975,0
11,12358.0,10,2,341.86000000000007,0
12,12359.0,241,4,6205.080000000005,0
13,12360.0,119,3,2118.3599999999997,0
14,12361.0,9,1,174.89999999999998,0
15,12362.0,244,10,4520.270000000002,0
16,12363.0,23,2,552.0,0
17,12364.0,75,4,1133.4,0
18,12365.0,19,1,283.94,0
19,12367.0,10,1,150.9,0
20,12370.0,151,4,2975.459999999999,0
21,12371.0,51,1,1269.5600000000002,0
22,12372.0,46,3,1164.54,0
23,12373.0,12,1,305.1,0
24,12374.0,31,1,589.03,0
25,12375.0,12,2,286.1,0
26,12377.0,72,2,1460.5199999999995,0
27,12378.0,206,1,3794.3200000000015,0
28,12379.0,36,2,739.8399999999997,0
29,12380.0,88,4,2191.5099999999998,0
30,12381.0,78,3,1408.1500000000005,0
31,12383.0,87,5,1498.3600000000001,0
32,12384.0,22,2,371.62,0
33,12386.0,10,2,401.90000000000003,0
34,12388.0,89,6,2524.9100000000008,0
35,12390.0,30,1,494.34,0
36,12391.0,96,1,420.4099999999999,0
37,12393.0,61,4,1521.0000000000002,0
38,12394.0,25,2,1080.48,0
39,12395.0,141,12,2645.779999999999,0
40,12397.0,123,2,2199.9,0
41,12398.0,80,1,1381.4600000000003,0
42,12399.0,54,4,1018.65,0
43,12401.0,2,1,36.45,0
44,12402.0,9,1,176.1,0
45,12403.0,1,1,9.9,0
46,12405.0,46,1,1193.4100000000003,0
47,12406.0,97,2,2930.9000000000005,0
48,12407.0,60,5,1309.2999999999997,0
49,12408.0,96,5,2538.4500000000003,0
50,12409.0,102,3,10223.27,0
51,12410.0,25,2,533.3299999999999,0
52,12412.0,54,3,1091.67,0
53,12413.0,31,3,589.3000000000001,0
54,12414.0,11,3,263.76,0
55,12415.0,690,20,121265.98999999976,1
56,12417.0,163,9,2936.0499999999997,0
57,12418.0,33,1,635.8799999999998,0
58,12420.0,28,1,585.5400000000001,0
59,12421.0,35,4,516.74,0
60,12422.0,36,3,654.0999999999997,0
61,12423.0,99,8,1422.2700000000002,0
62,12424.0,30,2,1760.9599999999998,0
63,12425.0,33,1,727.36,0
64,12426.0,28,1,508.2299999999999,0
65,12427.0,28,3,699.8000000000002,0
66,12428.0,233,8,5145.9000000000015,0
67,12429.0,86,4,3212.8400000000006,0
68,12430.0,10,1,216.4,0
69,12431.0,210,15,5896.749999999998,0
70,12432.0,94,4,3242.120000000001,0
71,12433.0,390,7,12542.249999999993,0
72,12434.0,48,2,773.4399999999999,0
73,12435.0,36,2,7829.889999999998,0
74,12436.0,13,1,330.90999999999997,0
75,12437.0,181,18,4396.159999999999,0
76,12438.0,94,2,2436.1300000000006,0
77,12441.0,8,1,117.30000000000001,0
78,12442.0,11,1,144.06,0
